Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %, 
28, 128, 1, 1, 8, 0.10278, 0.0740256, N/A, 0.000121861, 0.000162403, 0.125463, 0.000498694, 2, 2, 0.25, 4, 1, 1, 53.2454, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
28, 128, 1, 1, 16, 0.10278, 0.0740256, N/A, 0.000144686, 0.000253843, 0.128619, 0.000517323, 2, 2, 0.25, 2, 1, 1, 51.3279, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
28, 128, 1, 1, 20, 0.0941429, 0.0745162, N/A, 0.000191705, 0.00030679, 0.126543, 0.000515626, 2, 2, 0.3125, 2, 1, 1, 55.7883, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
28, 128, 1, 1, 28, 0.0928439, 0.0750685, N/A, 0.00023924, 0.00034811, 0.122604, 0.000582097, 2, 2, 0.4375, 2, 1, 1, 48.1506, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
28, 128, 1, 1, 32, 0.0922939, 0.0755335, N/A, 0.00026422, 0.000365207, 0.117676, 0.000594083, 2, 2, 0.5, 2, 1, 1, 44.696, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
28, 256, 1, 1, 8, 0.109439, 0.083764, N/A, 0.000205099, 0.000217566, 0.21583, 0.000879309, 2, 2, 0.5, 8, 1, 1, 60.3955, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
28, 256, 1, 1, 16, 0.109439, 0.083764, N/A, 0.000231024, 0.000312106, 0.214033, 0.000895273, 2, 2, 0.5, 4, 1, 1, 59.3185, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
28, 256, 1, 1, 20, 0.101466, 0.0849176, N/A, 0.000289279, 0.000371999, 0.211267, 0.000931238, 2, 2, 0.625, 4, 1, 1, 59.2057, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
28, 256, 1, 1, 28, 0.111179, 0.0843448, N/A, 0.000262254, 0.00048575, 0.22159, 0.00095215, 2, 2, 0.4375, 2, 1, 1, 57.3244, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
28, 256, 1, 1, 32, 0.109439, 0.083764, N/A, 0.000287548, 0.00050316, 0.214755, 0.000957444, 2, 2, 0.5, 2, 1, 1, 55.4667, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
