Total network energy = 2.60e+09 pJ
Total network latency = 6.42e+06 cycles
         233503864 function calls (233190351 primitive calls) in 125.067 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    73906    0.115    0.000    0.434    0.000 dag.py:220(<listcomp>)
   109626    0.275    0.000    0.432    0.000 Mapping.py:235(<listcomp>)
       31    0.001    0.000    0.429    0.014 PngImagePlugin.py:1250(_save)
       31    0.001    0.000    0.426    0.014 ImageFile.py:528(_save)
       31    0.001    0.000    0.425    0.014 ImageFile.py:556(_encode_tile)
       31    0.420    0.014    0.420    0.014 {method 'encode' of 'ImagingEncoder' objects}
    18333    0.075    0.000    0.418    0.000 SpatialMappingInternal.py:134(<dictcomp>)
       31    0.000    0.000    0.406    0.013 _base.py:1384(clear)
       31    0.003    0.000    0.406    0.013 _base.py:1257(__clear)
    18271    0.263    0.000    0.405    0.000 cost_model.py:658(calc_double_buffer_flag)
    18271    0.397    0.000    0.402    0.000 cost_model.py:982(<dictcomp>)
   109626    0.281    0.000    0.400    0.000 Mapping.py:284(<listcomp>)
   683017    0.339    0.000    0.394    0.000 MemoryInstance.py:83(__eq__)
     1488    0.005    0.000    0.390    0.000 ticker.py:2169(__call__)
    73101    0.194    0.000    0.377    0.000 mapping_assist_funcs.py:44(<dictcomp>)
   328878    0.258    0.000    0.370    0.000 memory_port.py:65(<genexpr>)
      279    0.004    0.000    0.369    0.001 axis.py:397(__init__)
    36542    0.122    0.000    0.366    0.000 Mapping.py:316(<dictcomp>)
  2125927    0.267    0.000    0.364    0.000 {built-in method builtins.isinstance}
     1488    0.006    0.000    0.358    0.000 ticker.py:2173(tick_values)
    18271    0.093    0.000    0.355    0.000 TemporalMapping.py:90(<dictcomp>)
     1607    0.353    0.000    0.353    0.000 {method '__exit__' of '_io._IOBase' objects}
3504353/3501474    0.348    0.000    0.350    0.000 {built-in method builtins.len}
    73101    0.226    0.000    0.346    0.000 mapping_assist_funcs.py:50(<dictcomp>)
    54999    0.214    0.000    0.337    0.000 SpatialMappingInternal.py:129(<listcomp>)
    36542    0.117    0.000    0.336    0.000 Mapping.py:324(<dictcomp>)
      248    0.005    0.000    0.330    0.001 spines.py:142(get_window_extent)
3122612/3118137    0.315    0.000    0.330    0.000 {built-in method builtins.hash}
   109626    0.244    0.000    0.329    0.000 Mapping.py:292(<listcomp>)
        1    0.000    0.000    0.328    0.328 WorkloadParserStage.py:37(parse_workload)
    54999    0.203    0.000    0.323    0.000 SpatialMappingInternal.py:135(<listcomp>)
     1488    0.045    0.000    0.322    0.000 ticker.py:2100(_raw_ticks)
   295651    0.183    0.000    0.321    0.000 digraph.py:883(successors)
   109626    0.219    0.000    0.315    0.000 Mapping.py:243(<listcomp>)
      248    0.003    0.000    0.311    0.001 axis.py:454(__init__)
        1    0.000    0.000    0.305    0.305 figure.py:1(<module>)
